title,eps,date,members,rating
Fairy Tail,TV (175 eps),        Oct 2009 - Mar 2013,"        1,380,707 members",7.64
Ansatsu Kyoushitsu,TV (22 eps),        Jan 2015 - Jun 2015,"        1,378,187 members",8.11
Mob Psycho 100,TV (12 eps),        Jul 2016 - Sep 2016,"        1,363,931 members",8.48
Bleach,TV (366 eps),        Oct 2004 - Mar 2012,"        1,359,619 members",7.80
Kill la Kill,TV (24 eps),        Oct 2013 - Mar 2014,"        1,344,418 members",8.09
Kiseijuu: Sei no Kakuritsu,TV (24 eps),        Oct 2014 - Mar 2015,"        1,340,341 members",8.38
Code Geass: Hangyaku no Lelouch R2,TV (25 eps),        Apr 2008 - Sep 2008,"        1,334,954 members",8.91
Sen to Chihiro no Kamikakushi,Movie (1 eps),        Jul 2001 - Jul 2001,"        1,331,793 members",8.81
Tokyo Ghoul √A,TV (12 eps),        Jan 2015 - Mar 2015,"        1,324,095 members",7.05
Cowboy Bebop,TV (26 eps),        Apr 1998 - Apr 1999,"        1,324,054 members",8.77
Haikyuu!!,TV (25 eps),        Apr 2014 - Sep 2014,"        1,315,280 members",8.50
Death Parade,TV (12 eps),        Jan 2015 - Mar 2015,"        1,295,264 members",8.19
Yakusoku no Neverland,TV (12 eps),        Jan 2019 - Mar 2019,"        1,289,697 members",8.62
Shingeki no Kyojin Season 3 Part 2,TV (10 eps),        Apr 2019 - Jul 2019,"        1,288,425 members",9.11
Another,TV (12 eps),        Jan 2012 - Mar 2012,"        1,281,959 members",7.53
Soul Eater,TV (51 eps),        Apr 2008 - Mar 2009,"        1,279,269 members",7.87
Psycho-Pass,TV (22 eps),        Oct 2012 - Mar 2013,"        1,272,602 members",8.37
Tengen Toppa Gurren Lagann,TV (27 eps),        Apr 2007 - Sep 2007,"        1,267,707 members",8.66
Shokugeki no Souma,TV (24 eps),        Apr 2015 - Sep 2015,"        1,249,843 members",8.25
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV (11 eps),        Apr 2011 - Jun 2011,"        1,237,835 members",8.40
Neon Genesis Evangelion,TV (26 eps),        Oct 1995 - Mar 1996,"        1,235,506 members",8.32
Elfen Lied,TV (13 eps),        Jul 2004 - Oct 2004,"        1,230,901 members",7.55
Fullmetal Alchemist,TV (51 eps),        Oct 2003 - Oct 2004,"        1,201,798 members",8.15
Highschool of the Dead,TV (12 eps),        Jul 2010 - Sep 2010,"        1,165,110 members",7.13
Violet Evergarden,TV (13 eps),        Jan 2018 - Apr 2018,"        1,155,715 members",8.64
Durarara!!,TV (24 eps),        Jan 2010 - Jun 2010,"        1,149,871 members",8.16
Fate/Zero,TV (13 eps),        Oct 2011 - Dec 2011,"        1,149,416 members",8.33
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,TV (13 eps),        Apr 2015 - Jun 2015,"        1,145,482 members",7.61
Clannad,TV (23 eps),        Oct 2007 - Mar 2008,"        1,142,406 members",8.05
Charlotte,TV (13 eps),        Jul 2015 - Sep 2015,"        1,139,185 members",7.76
Hataraku Maou-sama!,TV (13 eps),        Apr 2013 - Jun 2013,"        1,138,505 members",7.81
Bakemonogatari,TV (15 eps),        Jul 2009 - Jun 2010,"        1,115,918 members",8.35
Overlord,TV (13 eps),        Jul 2015 - Sep 2015,"        1,108,689 members",7.94
Noragami Aragoto,TV (13 eps),        Oct 2015 - Dec 2015,"        1,107,344 members",8.20
Darling in the FranXX,TV (24 eps),        Jan 2018 - Jul 2018,"        1,107,290 members",7.31
One Punch Man 2nd Season,TV (12 eps),        Apr 2019 - Jul 2019,"        1,092,149 members",7.41
Dr. Stone,TV (24 eps),        Jul 2019 - Dec 2019,"        1,087,640 members",8.32
Boku no Hero Academia 4th Season,TV (25 eps),        Oct 2019 - Apr 2020,"        1,086,421 members",8.03
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,TV (13 eps),        Oct 2018 - Dec 2018,"        1,074,918 members",8.35
Kono Subarashii Sekai ni Shukufuku wo! 2,TV (10 eps),        Jan 2017 - Mar 2017,"        1,071,327 members",8.30
High School DxD,TV (12 eps),        Jan 2012 - Mar 2012,"        1,065,200 members",7.38
JoJo no Kimyou na Bouken (TV),TV (26 eps),        Oct 2012 - Apr 2013,"        1,064,848 members",8.01
Jujutsu Kaisen (TV),TV (24 eps),        Oct 2020 - Mar 2021,"        1,061,686 members",8.79
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,TV (13 eps),        Apr 2013 - Jun 2013,"        1,044,008 members",8.05
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,TV (12 eps),        Jan 2019 - Mar 2019,"        1,043,268 members",8.42
Shingeki no Kyojin: The Final Season,TV (16 eps),        Dec 2020 - Mar 2021,"        1,041,348 members",9.03
Chuunibyou demo Koi ga Shitai!,TV (12 eps),        Oct 2012 - Dec 2012,"        1,016,516 members",7.75
Mahou Shoujo Madoka★Magica,TV (12 eps),        Jan 2011 - Apr 2011,"        1,007,504 members",8.37
Tate no Yuusha no Nariagari,TV (25 eps),        Jan 2019 - Jun 2019,"        1,001,657 members",8.00
Hyouka,TV (22 eps),        Apr 2012 - Sep 2012,"        1,000,162 members",8.13
Guilty Crown,TV (22 eps),        Oct 2011 - Mar 2012,"        991,271 members",7.49
Deadman Wonderland,TV (12 eps),        Apr 2011 - Jul 2011,"        986,436 members",7.21
Ansatsu Kyoushitsu 2nd Season,TV (25 eps),        Jan 2016 - Jul 2016,"        978,308 members",8.53
Black Clover,TV (170 eps),        Oct 2017 - Mar 2021,"        975,726 members",7.97
Sakura-sou no Pet na Kanojo,TV (24 eps),        Oct 2012 - Mar 2013,"        970,735 members",8.17
Haikyuu!! Second Season,TV (25 eps),        Oct 2015 - Mar 2016,"        965,157 members",8.70
Kakegurui,TV (12 eps),        Jul 2017 - Sep 2017,"        962,980 members",7.36
Clannad: After Story,TV (24 eps),        Oct 2008 - Mar 2009,"        950,668 members",8.95
Owari no Seraph,TV (12 eps),        Apr 2015 - Jun 2015,"        947,401 members",7.49
Samurai Champloo,TV (26 eps),        May 2004 - Mar 2005,"        939,670 members",8.50
Kaichou wa Maid-sama!,TV (26 eps),        Apr 2010 - Sep 2010,"        937,321 members",8.05
Dragon Ball Z,TV (291 eps),        Apr 1989 - Jan 1996,"        936,685 members",8.15
Mob Psycho 100 II,TV (13 eps),        Jan 2019 - Apr 2019,"        930,547 members",8.83
Made in Abyss,TV (13 eps),        Jul 2017 - Sep 2017,"        923,320 members",8.72
Mononoke Hime,Movie (1 eps),        Jul 1997 - Jul 1997,"        921,094 members",8.71
Kuroshitsuji,TV (24 eps),        Oct 2008 - Mar 2009,"        918,884 members",7.73
Log Horizon,TV (25 eps),        Oct 2013 - Mar 2014,"        910,892 members",7.99
Howl no Ugoku Shiro,Movie (1 eps),        Nov 2004 - Nov 2004,"        907,072 members",8.66
Nisekoi,TV (20 eps),        Jan 2014 - May 2014,"        900,676 members",7.63
Kyoukai no Kanata,TV (12 eps),        Oct 2013 - Dec 2013,"        896,650 members",7.77
Ouran Koukou Host Club,TV (26 eps),        Apr 2006 - Sep 2006,"        871,650 members",8.19
Zankyou no Terror,TV (11 eps),        Jul 2014 - Sep 2014,"        869,248 members",8.12
Bungou Stray Dogs,TV (12 eps),        Apr 2016 - Jun 2016,"        869,082 members",7.79
Kuroko no Basket,TV (25 eps),        Apr 2012 - Sep 2012,"        867,863 members",8.12
Shokugeki no Souma: Ni no Sara,TV (13 eps),        Jul 2016 - Sep 2016,"        859,663 members",8.17
Fate/Zero 2nd Season,TV (12 eps),        Apr 2012 - Jun 2012,"        850,731 members",8.59
Tensei shitara Slime Datta Ken,TV (24 eps),        Oct 2018 - Mar 2019,"        845,140 members",8.08
Kobayashi-san Chi no Maid Dragon,TV (13 eps),        Jan 2017 - Apr 2017,"        832,854 members",8.00
Nanatsu no Taizai: Imashime no Fukkatsu,TV (24 eps),        Jan 2018 - Jun 2018,"        818,158 members",7.77
K-On!,TV (13 eps),        Apr 2009 - Jun 2009,"        814,947 members",7.84
Magi: The Labyrinth of Magic,TV (25 eps),        Oct 2012 - Mar 2013,"        811,373 members",8.06
Tonari no Kaibutsu-kun,TV (13 eps),        Oct 2012 - Dec 2012,"        808,663 members",7.53
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV (10 eps),        Oct 2016 - Dec 2016,"        804,143 members",8.84
Mahouka Koukou no Rettousei,TV (26 eps),        Apr 2014 - Sep 2014,"        803,008 members",7.50
Enen no Shouboutai,TV (24 eps),        Jul 2019 - Dec 2019,"        798,483 members",7.67
Gintama,TV (201 eps),        Apr 2006 - Mar 2010,"        796,384 members",8.96
Fate/stay night: Unlimited Blade Works,TV (12 eps),        Oct 2014 - Dec 2014,"        783,823 members",8.21
Tokyo Ghoul:re,TV (12 eps),        Apr 2018 - Jun 2018,"        780,321 members",6.46
Darker than Black: Kuro no Keiyakusha,TV (25 eps),        Apr 2007 - Sep 2007,"        779,729 members",8.11
Dragon Ball,TV (153 eps),        Feb 1986 - Apr 1989,"        772,558 members",7.98
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,TV (13 eps),        Apr 2015 - Jun 2015,"        770,011 members",8.26
Tonari no Totoro,Movie (1 eps),        Apr 1988 - Apr 1988,"        768,916 members",8.29
Suzumiya Haruhi no Yuuutsu,TV (14 eps),        Apr 2006 - Jul 2006,"        767,179 members",7.87
Vinland Saga,TV (24 eps),        Jul 2019 - Dec 2019,"        767,002 members",8.71
Date A Live,TV (12 eps),        Apr 2013 - Jun 2013,"        766,643 members",7.20
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,TV (24 eps),        Apr 2014 - Sep 2014,"        765,486 members",8.10
Goblin Slayer,TV (12 eps),        Oct 2018 - Dec 2018,"        764,633 members",7.44
Dororo,TV (24 eps),        Jan 2019 - Jun 2019,"        763,026 members",8.20
Fate/stay night,TV (24 eps),        Jan 2006 - Jun 2006,"        762,711 members",7.32
ReLIFE,TV (13 eps),        Jul 2016 - Sep 2016,"        759,968 members",8.02
Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,TV (12 eps),        Apr 2020 - Jun 2020,"        758,522 members",8.70
Fairy Tail (2014),TV (102 eps),        Apr 2014 - Mar 2016,"        754,623 members",7.70
Prison School,TV (12 eps),        Jul 2015 - Sep 2015,"        743,779 members",7.68
Black Bullet,TV (13 eps),        Apr 2014 - Jul 2014,"        743,246 members",7.15
Golden Time,TV (24 eps),        Oct 2013 - Mar 2014,"        740,139 members",7.77
Baccano!,TV (13 eps),        Jul 2007 - Nov 2007,"        738,222 members",8.41
Black Lagoon,TV (12 eps),        Apr 2006 - Jun 2006,"        737,985 members",8.04
Devilman: Crybaby,ONA (10 eps),        Jan 2018 - Jan 2018,"        729,476 members",7.82
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,TV (13 eps),        Jul 2013 - Sep 2013,"        728,677 members",7.27
Byousoku 5 Centimeter,Movie (3 eps),        Mar 2007 - Mar 2007,"        728,339 members",7.70
Gekkan Shoujo Nozaki-kun,TV (12 eps),        Jul 2014 - Sep 2014,"        716,693 members",7.92
Sword Art Online: Alicization,TV (24 eps),        Oct 2018 - Mar 2019,"        712,274 members",7.56
Shokugeki no Souma: San no Sara,TV (12 eps),        Oct 2017 - Dec 2017,"        712,182 members",8.10
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,TV (13 eps),        Jul 2020 - Sep 2020,"        709,079 members",8.46
High School DxD New,TV (12 eps),        Jul 2013 - Sep 2013,"        707,265 members",7.52
Btooom!,TV (12 eps),        Oct 2012 - Dec 2012,"        705,420 members",7.36
Hellsing Ultimate,OVA (10 eps),        Feb 2006 - Dec 2012,"        705,384 members",8.39
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,TV (24 eps),        Jan 2015 - Jun 2015,"        700,669 members",8.44
Overlord II,TV (13 eps),        Jan 2018 - Apr 2018,"        695,620 members",7.76
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,TV (39 eps),        Apr 2016 - Dec 2016,"        695,186 members",8.50
Plastic Memories,TV (13 eps),        Apr 2015 - Jun 2015,"        692,935 members",7.93
Rakudai Kishi no Cavalry,TV (12 eps),        Oct 2015 - Dec 2015,"        685,751 members",7.50
Kimi ni Todoke,TV (25 eps),        Oct 2009 - Mar 2010,"        682,818 members",8.01
Nichijou,TV (26 eps),        Apr 2011 - Sep 2011,"        675,638 members",8.47
Zero no Tsukaima,TV (13 eps),        Jul 2006 - Sep 2006,"        670,304 members",7.30
Saiki Kusuo no Ψ-nan,TV (120 eps),        Jul 2016 - Dec 2016,"        670,116 members",8.44
Magi: The Kingdom of Magic,TV (25 eps),        Oct 2013 - Mar 2014,"        668,734 members",8.26
Kokoro Connect,TV (13 eps),        Jul 2012 - Sep 2012,"        664,108 members",7.81
Boku wa Tomodachi ga Sukunai,TV (12 eps),        Oct 2011 - Dec 2011,"        663,037 members",7.25
Ookami to Koushinryou,TV (13 eps),        Jan 2008 - Mar 2008,"        662,617 members",8.26
Monster,TV (74 eps),        Apr 2004 - Sep 2005,"        662,260 members",8.77
Higurashi no Naku Koro ni,TV (26 eps),        Apr 2006 - Sep 2006,"        659,802 members",7.94
Toaru Majutsu no Index,TV (24 eps),        Oct 2008 - Mar 2009,"        659,125 members",7.42
Mahoutsukai no Yome,TV (24 eps),        Oct 2017 - Mar 2018,"        658,294 members",8.09
Kekkai Sensen,TV (12 eps),        Apr 2015 - Oct 2015,"        655,469 members",7.64
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),TV (12 eps),        Jul 2017 - Sep 2017,"        652,443 members",7.84
No Game No Life: Zero,Movie (1 eps),        Jul 2017 - Jul 2017,"        646,092 members",8.29
Mushishi,TV (26 eps),        Oct 2005 - Jun 2006,"        644,742 members",8.69
Ao Haru Ride,TV (12 eps),        Jul 2014 - Sep 2014,"        643,901 members",7.66
Toki wo Kakeru Shoujo,Movie (1 eps),        Jul 2006 - Jul 2006,"        642,329 members",8.18
Trinity Seven,TV (12 eps),        Oct 2014 - Dec 2014,"        642,238 members",7.14
Fate/stay night: Unlimited Blade Works 2nd Season,TV (13 eps),        Apr 2015 - Jun 2015,"        641,334 members",8.33
Ookami Kodomo no Ame to Yuki,Movie (1 eps),        Jul 2012 - Jul 2012,"        641,266 members",8.63
Youjo Senki,TV (12 eps),        Jan 2017 - Mar 2017,"        641,062 members",7.99
Shinsekai yori,TV (25 eps),        Sep 2012 - Mar 2013,"        638,825 members",8.34
FLCL,OVA (6 eps),        Apr 2000 - Mar 2001,"        636,333 members",8.03
Yuri!!! on Ice,TV (12 eps),        Oct 2016 - Dec 2016,"        636,108 members",7.91
Steins;Gate 0,TV (23 eps),        Apr 2018 - Sep 2018,"        627,010 members",8.51
Akatsuki no Yona,TV (24 eps),        Oct 2014 - Mar 2015,"        625,488 members",8.04
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",TV (12 eps),        Jul 2015 - Sep 2015,"        624,723 members",7.73
Danshi Koukousei no Nichijou,TV (12 eps),        Jan 2012 - Mar 2012,"        624,225 members",8.27
K,TV (13 eps),        Oct 2012 - Dec 2012,"        623,868 members",7.49
Koutetsujou no Kabaneri,TV (12 eps),        Apr 2016 - Jul 2016,"        621,529 members",7.25
Kuroko no Basket 2nd Season,TV (25 eps),        Oct 2013 - Mar 2014,"        621,418 members",8.26
Free!,TV (12 eps),        Jul 2013 - Sep 2013,"        620,927 members",7.37
Kotonoha no Niwa,Movie (1 eps),        May 2013 - May 2013,"        620,730 members",8.01
Great Teacher Onizuka,TV (43 eps),        Jun 1999 - Sep 2000,"        615,789 members",8.70
InuYasha,TV (167 eps),        Oct 2000 - Sep 2004,"        614,088 members",7.84
Accel World,TV (24 eps),        Apr 2012 - Sep 2012,"        613,934 members",7.30
Neon Genesis Evangelion: The End of Evangelion,Movie (1 eps),        Jul 1997 - Jul 1997,"        612,008 members",8.52
Yakusoku no Neverland 2nd Season,TV (11 eps),        Jan 2021 - Mar 2021,"        609,408 members",5.67
High School DxD BorN,TV (12 eps),        Apr 2015 - Jun 2015,"        608,917 members",7.44
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV (39 eps),        Oct 2018 - Jul 2019,"        607,059 members",8.59
Hotarubi no Mori e,Movie (1 eps),        Sep 2011 - Sep 2011,"        602,852 members",8.36
Horimiya,TV (13 eps),        Jan 2021 - Apr 2021,"        601,011 members",8.27
Wotaku ni Koi wa Muzukashii,TV (11 eps),        Apr 2018 - Jun 2018,"        598,358 members",7.95
Akira,Movie (1 eps),        Jul 1988 - Jul 1988,"        597,777 members",8.17
